CLML;Cuiseur2PMP_J;Cuiseur2PSF_J;Cuiseur2Ratio_MP_J;Cuiseur2Ratio_PSF_J;Cuiseur2Tonne_J
24/08/2022 00:00:00;194.57100000000003;95.279;0.5487675469181095;1.128710401596408;41.9
25/08/2022 00:00:00;92.616;42.727999999999994;0.5407911001236093;1.0829207920792079;36.1
26/08/2022 00:00:00;119.077;56.061;0.5466140297600972;1.1483253588516746;38.7
27/08/2022 00:00:00;71.481;34.17;6.325492689129052;12.314356435643562;74.6
28/08/2022 00:00:00;34.385999999999996;17.019;11.137231854246252;24.746980084884097;83.8
29/08/2022 00:00:00;104.655;47.54599999999999;12.02118989405053;35.035629453681715;88.8
30/08/2022 00:00:00;72.707;32.751999999999995;0.5172877966232068;1.106768154700679;33.1
31/08/2022 00:00:00;65.78599999999999;30.566000000000003;2.1238938053097343;3.8183396008099506;37.8
01/09/2022 00:00:00;98.756;46.266;0.45157862780813607;0.9635627530364373;42.3
02/09/2022 00:00:00;89.045;41.157999999999994;0.5060398302317989;1.0132374571008336;39.5
03/09/2022 00:00:00;72.12800000000001;32.682;0.5899768763641864;1.368421052631579;42.1
04/09/2022 00:00:00;12.834;6.189;0.5407911001236093;1.1965811965811965;6.9
05/09/2022 00:00:00;78.01199999999999;33.29900000000001;1.954057279236277;5.067698259187621;33.5
06/09/2022 00:00:00;87.567;42.556;0.43509541265545243;0.9266920403772959;41.8
07/09/2022 00:00:00;90.393;42.910000000000004;0.47238171097319487;0.9951060358890701;42.9
08/09/2022 00:00:00;20.125999999999998;9.785;0.6658054258173508;1.369443025038324;36.1
09/09/2022 00:00:00;33.69499999999999;14.943;2.372479240806643;6.175221922037823;47
10/09/2022 00:00:00;60.80800000000001;28.004999999999995;0.5887855609970836;1.2898300317434808;37.3
11/09/2022 00:00:00;19.880000000000003;9.661999999999999;0.658953722334004;1.3558269509418341;13.1
12/09/2022 00:00:00;53.737;22.72;0.6960052200391503;1.642547033285094;35.6
13/09/2022 00:00:00;71.945;32.45399999999999;0.5403180157464107;1.139384732244588;40.1
14/09/2022 00:00:00;54.715999999999994;24.703999999999997;0.5300095036186856;1.2049894092727702;30.9
15/09/2022 00:00:00;51.70600000000001;23.833;0.5097762280972767;1.114219563959097;23.1
16/09/2022 00:00:00;34.062000000000005;15.240999999999998;0.9046692607003891;2.035901926444834;29
17/09/2022 00:00:00;13.07;6.379;0.4743687834736037;0.9719391754193448;32.8
18/09/2022 00:00:00;13.07;6.379;0.4743687834736037;0.9719391754193448;null
19/09/2022 00:00:00;25.802;11.955;1.4254038644282547;3.0622660768969037;23.2
20/09/2022 00:00:00;59.556000000000004;26.567999999999998;0.6485317960727798;1.5770473114193428;36.4
21/09/2022 00:00:00;60.409000000000006;26.725;0.8217540714178992;1.9062472922623688;40.3
22/09/2022 00:00:00;58.462;26.205;0.6397147501441979;1.381184195630024;33.7
23/09/2022 00:00:00;58.571999999999996;25.649;0.6196054254007399;1.43489434608795;36.8
24/09/2022 00:00:00;59.236;25.343;0.5327719177640766;1.2742126085392795;31.3
25/09/2022 00:00:00;59.236;25.343;0.5327719177640766;1.2742126085392795;null
26/09/2022 00:00:00;47.64;19.159;0.7825061635759459;2.15064322891093;34.2
27/09/2022 00:00:00;58.67999999999999;25.582;1.006711409395973;2.042079207920792;31.5
28/09/2022 00:00:00;52.729;25.349;0.521534639382503;1.0863142584427978;31.3
29/09/2022 00:00:00;66.071;28.669;0.48285852245292127;1.116544103492088;30.9
30/09/2022 00:00:00;32.492999999999995;14.200999999999999;2541.6917067307695;6282.027478648348;30.9
01/10/2022 00:00:00;53.891000000000005;26.544999999999998;0.621179744570889;1.3404825737265416;33.2
02/10/2022 00:00:00;6.126;2.31;null;null;null
03/10/2022 00:00:00;59.55600000000001;25.683;0.6216567876246928;1.456965554456336;36.8
04/10/2022 00:00:00;65.206;29.819;0.5214244087967365;1.1402126161172408;34
05/10/2022 00:00:00;45.33;19.998;0.5716899153898926;1.264716167385476;27.3
06/10/2022 00:00:00;59.391000000000005;26.048000000000002;0.5152295802394302;1.1773872392000693;30.7
07/10/2022 00:00:00;59.336;27.887000000000004;0.5664340910796009;1.302734880510741;32.8
08/10/2022 00:00:00;31.07;14.715;0.5107170145172316;1.0625836680053546;15.3
09/10/2022 00:00:00;31.07;14.715;0.5107170145172316;1.0625836680053546;null
10/10/2022 00:00:00;54.543;22.739;0.5794823945391151;1.4791237595955813;31.8
11/10/2022 00:00:00;54.08;23.95;0.7468942915936285;1.6621438263229307;36.5
12/10/2022 00:00:00;46.366;19.352999999999998;0.5607557261786654;1.3640345388562134;27.1
13/10/2022 00:00:00;58.830999999999996;25.555000000000003;0.5728272509391308;1.3274788113958949;36.8
14/10/2022 00:00:00;67.05;30.055;0.5384041759880687;1.201131259357844;38.8
15/10/2022 00:00:00;72.139;30.835000000000004;0.5383168422823411;1.2537398489813363;38.7
16/10/2022 00:00:00;13.215;5.833;0.5145667801740447;1.1657809017658152;6.8
17/10/2022 00:00:00;45.766999999999996;17.668;0.6448226737647147;1.7653981953707336;30.2
18/10/2022 00:00:00;76.39800000000001;32.966;0.5157203068143145;1.2106130409927027;39.4
19/10/2022 00:00:00;46.193999999999996;18.612;0.5913173652694611;1.4463566459172466;26.6
20/10/2022 00:00:00;65.031;27.813000000000002;0.5935169684979456;1.3919413919413917;38
21/10/2022 00:00:00;57.983000000000004;25.981;0.5592404734035635;1.2583401615357603;31.9
22/10/2022 00:00:00;33.118;12.721;0.5919514500323334;1.5398550724637683;22.9
23/10/2022 00:00:00;26.727;12.582;0.34608919212894296;0.7623611413635373;7
24/10/2022 00:00:00;59.02199999999999;24.467;0.6459189665296535;1.5619453319133831;35.9
25/10/2022 00:00:00;86.45500000000001;37.952;5.9708295350957155;13.91643059490085;46.2
26/10/2022 00:00:00;47.056999999999995;19.448;0.5291455043882951;1.2803373097490744;27.8
27/10/2022 00:00:00;65.81800000000001;28.205000000000002;0.5326925339024349;1.2542449626443286;35.1
28/10/2022 00:00:00;72.675;31.094;0.5482564457176725;1.238439887414556;37.1
29/10/2022 00:00:00;71.922;31.324;0.5450348989182726;1.2514365981356148;40.4
30/10/2022 00:00:00;6.425;3.285;0.311284046692607;0.60882800608828;2
31/10/2022 00:00:00;45.243;19.669;4.149628956534908;10.653188180404353;38.6
01/11/2022 00:00:00;65.482;27.855;0.5207537949360129;1.2401260590185406;34.5
02/11/2022 00:00:00;53.457;20.997999999999998;0.5863664470457792;1.4906181541099155;32.7
03/11/2022 00:00:00;71.966;30.92;0.5943796162755125;1.3765182186234817;38.1
04/11/2022 00:00:00;59.57800000000001;25.77;0.5622880929202053;1.3254786450662737;34.9
05/11/2022 00:00:00;52.702;23.03;0.5597510530909643;1.2809379070777247;30.8
06/11/2022 00:00:00;6.3;2.335;0.2222222222222222;0.5995717344753747;1.4
07/11/2022 00:00:00;60.358000000000004;24.758;0.6082919801504723;1.4186131833190656;34.8
08/11/2022 00:00:00;77.53999999999999;31.742999999999995;5.20101629053953;11.681772406847934;37.5
09/11/2022 00:00:00;78.46600000000002;31.788;0.4767490256914752;1.261766473062287;37.4
10/11/2022 00:00:00;64.87299999999999;28.091;0.5333537977476355;1.2483161203412663;34.3
11/11/2022 00:00:00;52.381;22.802999999999997;0.6238859180035651;1.4319809069212412;30.2
12/11/2022 00:00:00;48.561;20.037;0.6191058959038226;1.615933859451334;32.7
13/11/2022 00:00:00;13.764;6.676;4.696926170640621;10.599675850891412;3.2
14/11/2022 00:00:00;40.1;15.622;null;null;null
15/11/2022 00:00:00;92.78299999999999;38.964000000000006;null;null;null
16/11/2022 00:00:00;34.216;13.31;2.765863038012128;7.635769701919151;33.2
17/11/2022 00:00:00;74.83399999999999;31.372000000000003;0.5357665301345818;1.2756992938789842;43.5
18/11/2022 00:00:00;73.949;31.620000000000005;0.5125153822228833;1.1986084756483237;37.9
19/11/2022 00:00:00;46.501000000000005;20.576999999999998;0.5747126436781609;1.3477402114557915;29.9
20/11/2022 00:00:00;6.912;3.477;0.02893518518518519;0.05752085130859937;0.2
21/11/2022 00:00:00;40.501999999999995;17.276000000000003;0.5407140388128981;1.2676545496642737;25.8
22/11/2022 00:00:00;75.41199999999999;31.999;0.4853338991141994;1.1437857433044785;40.1
23/11/2022 00:00:00;74.924;32.801;6.0785205396392294;12.685858905409681;36.8
24/11/2022 00:00:00;74.375;32.893;0.48806722689075627;1.1195504236730036;36.4
25/11/2022 00:00:00;54.321999999999996;23.423;1.1423066336361134;2.3017193566278427;38.1
26/11/2022 00:00:00;67.471;30.924;0.49856374021857564;1.0855499640546369;32.8
27/11/2022 00:00:00;12.887;5.125;0.27159152634437805;0.6829268292682927;3.5
28/11/2022 00:00:00;68.023;26.841;0.6591475025633514;1.6257225433526012;38.3
29/11/2022 00:00:00;77.059;30.911;5.756801442958064;14.185185185185183;37.5
30/11/2022 00:00:00;67.95100000000001;28.277;0.5234297108673978;1.3164339946118049;34.8
01/12/2022 00:00:00;68.988;28.250000000000007;0.5700682829042161;1.4421871081013293;36.9
02/12/2022 00:00:00;66.79199999999999;28.976999999999997;0.49958680790323795;1.1009933774834437;35
03/12/2022 00:00:00;73.63999999999999;34.075;0.46170559478544276;0.9977989728539984;34.2
04/12/2022 00:00:00;6.274;2.807;0.5419190309212624;1.2112575703598147;3.4
