Temps;Co-Produit;LPlume;LSang;LV_Cuiseur_1;LV_Cuiseur_2;LV_Cuiseur_3
23/08/2022;191;29;24.9;42.8;46.4;47.8
24/08/2022;173.6;29.1;22.7;36.2;41.9;43.7
25/08/2022;146.1;24.3;19.2;27.9;36.1;38.6
26/08/2022;157.8;27.9;2.6;32;38.7;35.7
27/08/2022;309.3;47.4;2.6;65.9;74.6;76.1
28/08/2022;344.5;57.5;2.6;70.2;83.8;83.6
29/08/2022;326;51.2;46.4;64.3;76.6;87.6
30/08/2022;163;31.8;22.2;36.8;33.1;39.1
31/08/2022;142.2;21.8;20.9;29.3;37.8;32.5
01/09/2022;157.2;24.5;20.7;32.9;42.3;36.9
02/09/2022;156.5;29.6;21;31;39.5;35.3
03/09/2022;158.3;25.3;21.5;35.2;42.1;34.1
04/09/2022;20.6;4.6;2.6;2;6.9;4.6
05/09/2022;122.8;24.4;18.6;18.3;33.5;28
06/09/2022;170.3;33.7;22.2;33.5;41.8;39.1
07/09/2022;156.3;20.9;19.4;34.4;42.9;38.8
08/09/2022;153.2;25.2;20;36.7;36.1;33.8
09/09/2022;135.6;27.9;19.3;25.4;33.2;29.7
10/09/2022;124.1;14.4;17.7;27.3;37.3;27.3
11/09/2022;42.8;4.7;5.5;8.5;13.1;10.9
12/09/2022;127.9;23.2;18.4;23.9;35.6;26.9
13/09/2022;157.3;29;20.5;29.5;40.1;38.2
14/09/2022;132.6;24.9;17;27.4;30.9;32.3
15/09/2022;110.2;17.7;18.3;24.9;23.1;26
16/09/2022;141.2;28.9;19.9;34.2;29;29.1
17/09/2022;131.6;17.2;19.4;29.1;32.8;33.2
18/09/2022;6.3;3.3;1.6;null;null;1.3
19/09/2022;137.5;28.3;20.4;32.1;23.2;33.6
20/09/2022;172.7;27;24.9;38.9;36.4;45.5
21/09/2022;149.7;22.7;22;29.7;40.3;35
22/09/2022;136.7;29.1;22.5;29.5;33.7;21.9
23/09/2022;148.6;22.6;21.3;29.1;36.8;38.9
24/09/2022;137.7;22.1;21.4;32.6;31.3;30.3
25/09/2022;4.6;2.5;1.2;0.1;null;0.9
26/09/2022;151.7;29.2;19.8;27.9;34.2;40.5
27/09/2022;162.7;24.4;25.7;36.6;31.5;44.5
28/09/2022;157.1;30.3;25.3;33.3;31.3;36.8
29/09/2022;131.4;16.2;18.9;28.5;30.9;36.9
01/10/2022;147.5;22.6;24.5;30.4;33.2;36.7
02/10/2022;8.8;5.3;3.5;null;null;null
03/10/2022;152.8;22.8;21.8;26.8;36.8;44.5
04/10/2022;167.6;33.2;25.7;29.9;34;44.7
05/10/2022;135.7;20.9;20.9;25.3;27.3;41.2
06/10/2022;147.8;26.6;24.1;29.1;30.7;37.2
07/10/2022;161.7;28.8;23.4;33.2;32.8;43.4
08/10/2022;91.6;15.4;16.3;17.4;15.3;27.2
09/10/2022;3.3;1.1;2.1;null;null;null
10/10/2022;138.6;22.9;19.4;26.2;31.8;38.4
11/10/2022;166.6;32;24.7;28.2;36.5;45.2
12/10/2022;140.1;22.1;22.1;33.6;27.1;35.1
13/10/2022;157.2;29.9;23.5;26.5;36.8;40.6
14/10/2022;160.3;33.5;22.9;34.3;38.8;30.6
15/10/2022;125.5;21.5;19;28;38.7;18.5
16/10/2022;28.5;3.5;4.5;4.7;6.8;9
17/10/2022;138.2;26.7;21.3;23;30.2;37.1
18/10/2022;173.2;33;25.3;30.8;39.4;44.9
19/10/2022;139.4;22.7;22.6;32.3;26.6;35.2
20/10/2022;175;28.7;26.3;31.7;38;50.2
21/10/2022;157;29.9;21.6;33.3;31.9;40.2
22/10/2022;110.2;20.8;21.5;22.2;22.9;23.1
23/10/2022;30;3;4.5;7.4;7;8.2
24/10/2022;140;25.7;7.4;36.1;35.9;18
25/10/2022;187.7;31.9;28.6;33.4;40.1;53.6
26/10/2022;142.7;25.4;22.6;28.1;27.8;38.9
27/10/2022;164.5;27.2;24.5;31.8;35.1;45.9
28/10/2022;179.6;31.9;26.9;38.4;37.1;45.2
